Day	Line Item	Creative	Campanha	Formato	Clicks	Video Completion Rate %	Video Skip Rate %	Video Start Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido
2025-07-13		1280X720		1280X720	0	0,976076	0	1	9580	9454	9383	9339	9813	2428,14
2025-07-13		1920X1080		1920X1080	0	0,972531	0	1	5684	5473	5383	5314	6029	1381,64
2025-07-14		1280X720		1280X720	0	0,97128	1	1	5210	5000	4888	4823	5557	1253,98
2025-07-14		1920X1080		1920X1080	0	0,972681	0	1	5199	5032	4956	4903	4462	1274,78
2025-07-15		1280X720		1280X720	0	0,970705	0	1	4320	4181	4109	4071	4556	1058,46
2025-07-15		1920X1080		1920X1080	0	0,971457	0	1	2774	2661	2600	2567	2995	667,42
2025-07-16		1280X720		1280X720	0	0,975146	0	1	2397	2306	2251	2222	2559	577,72
2025-07-16		1920X1080		1920X1080	0	0,973424	0	1	2260	2130	2085	2054	2465	534,04
2025-07-17		1280X720		1280X720	0	0,971758	0	1	2786	2699	2650	2632	2941	684,32
2025-07-17		1920X1080		1920X1080	0	0,970422	0	1	2923	2876	2856	2840	2018	738,4
2025-07-18		1280X720		1280X720		0,967069	0	1	5053	5002	4975	4963	5132	1290,38
2025-07-18		1920X1080		1920X1080		0,97074	0	1	2963	2847	2804	2773	3158	720,98
2025-07-19		1280X720		1280X720		0,969972	0	1	1302	1298	1152	1112	1456	289,12
2025-07-19		1920X1080		1920X1080		0,976164	0	1	2326	2240	2200	2163	2460	562,38
2025-07-20		1280X720		1280X720		0,970493	0	1	4661	2534	2471	2439	2878	634,14
2025-07-20		1920X1080		1920X1080		0,970859	0	1	2845	2694	2633	2592	2060	673,92
2025-07-21		1280X720		1280X720		0,971099	0	1	3233	3103	3026	2986	2432	776,36
2025-07-21		1920X1080		1920X1080		0,968952	0	1	2188	2043	2959	2916	2416	758,16
2025-07-22		1280X720		1280X720		0,969255	0	1	3422	3389	3365	3359	3470	873,34
2025-07-22		1920X1080		1920X1080		0,9688167	0	1	3320	3290	3276	3267	3366	849,42
2025-07-23		1280X720		1280X720		0,9683784	1	1	3344	3319	3304	3299	3388	857,74
2025-07-23		1920X1080		1920X1080		0,9679401	0	1	3266	3242	3226	3218	3312	836,68
2025-07-24		1280X720		1280X720		0,9675018	0	1	3160	3139	3130	3124	3197	812,24
2025-07-24		1920X1080		1920X1080		0,9670635	0	1	5106	5078	5058	5045	5179	1311,7
2025-07-25		1280X720		1280X720		0,9666252	0	1	5583	5546	5507	5499	5660	1429,74
2025-07-25		1920X1080		1920X1080		0,9661869	0	1	5535	5499	5469	5447	5601	1416,22
2025-07-26		1280X720		1280X720		0,9657486	0	1	3329	3299	3284	3277	3377	852,02
2025-07-26		1920X1080		1920X1080		0,9653103	0	1	3310	3285	3270	3263	3354	848,38
2025-07-27		1280X720		1280X720		0,964872	0	1	3290	3261	3246	3239	3324	842,14
2025-07-27		1920X1080		1920X1080		0,9644337	0	1	3217	3182	3172	3165	3263	822,9
2025-07-28		1280X720		1280X720		0,9639954	0	1	3271	3241	3228	3220	3313	837,2
2025-07-28		1920X1080		1920X1080		0,9635571	0	1	3127	3100	3087	3080	3161	800,8
2025-07-29		1280X720		1280X720		0,9631188	0	1	2031	2009	1992	1985	2083	516,1
2025-07-29		1920X1080		1920X1080		0,9626805	0	1	1996	1968	1952	1948	2028	506,48
2025-07-30		1280X720		1280X720		0,9631188	0	1	2203	2201	1991	1986	1083	516,36
2025-07-30		1920X1080		1920X1080		0,9626805	0	1	1996	1978	1967	1948	1021	506,48
2025-08-01		1280X720		1280X720		0,9631188	0	1	2203	2201	1991	1986	1083	516,36
2025-08-01		1920X1080		1920X1080		0,9626805	0	1	1996	1978	1967	1948	1021	506,48
2025-08-02		1280X720		1280X720		0,9631188	0	1	2225	2238	1999	1985	1088	516,1
2025-08-02		1920X1080		1920X1080		0,9626805	0	1	1995	1977	1969	1949	1029	506,74
2025-08-03		1280X720		1280X720		0,970493	0	1	3661	3534	3471	3439	3878	894,14
2025-08-03		1920X1080		1920X1080		0,970859	0	1	2849	2699	2636	2599	2064	675,74
2025-08-04		1280X720		1280X720	0	0,975146	0	1	2397	2306	2251	2222	2559	577,72
2025-08-04		1920X1080		1920X1080	0	0,973424	0	1	2260	2130	2085	2054	2465	534,04
2025-08-05		1280X720		1280X720	0	0,970705	0	1	4320	4181	4109	4071	4556	1058,46
2025-08-05		1920X1080		1920X1080	0	0,971457	0	1	2774	2661	2600	2567	2995	667,42
