Day	Line Item	Creative	Campanha	Formato	Clicks	Video Completion Rate %	Video Skip Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido	Impressoes	CTR
2025-07-07	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	3	0,923077	0	1121	1099	1086	1068	1157	245,64	1157	0,2592912705
2025-07-07	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	23	0,908759	0,007299	1859	1808	1771	1743	1918	400,89	1918	1,199165798
2025-07-07	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	16	0,909539	0,004478	2161	2114	2066	2031	2232	467,13	2232	0,7168458781
2025-07-07	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	19	0,902439	0,004961	2350	2281	2211	2183	2419	502,09	2419	0,7854485325
2025-07-08	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	24	0,843879	0,001376	1376	1323	1259	1227	1454	282,21	1454	1,650618982
2025-07-08	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	28	0,828025	0,002123	1324	1277	1216	1170	1413	269,10	1413	1,981599434
2025-07-08	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	31	0,808989	0,001498	1230	1188	1126	1080	1335	248,40	1335	2,322097378
2025-07-08	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	29	0,799546	0,001513	1204	1151	1094	1057	1322	243,11	1322	2,193645991
2025-07-09	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	55	0,656539	0,003622	8113	7658	6916	6526	9937	1.500,98	9940	0,5533199195
2025-07-09	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	30	0,687521	0,002839	6995	6641	6335	6055	8803	1.392,65	8807	0,3406381288
2025-07-09	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	48	0,710049	0,008209	6206	5877	5611	5363	7552	1.233,49	7553	0,6355090692
2025-07-09	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	25	0,75944	0,004965	5843	5556	5311	5048	6638	1.161,04	6647	0,3761095231
2025-07-10	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	41	0,615424	0	1721	1596	1289	1197	1941	275,31	1945	2,107969152
2025-07-10	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	30	0,642328	0,000529	1766	1655	1311	1214	1889	279,22	1890	1,587301587
2025-07-10	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	38	0,631693	0	1700	1591	1257	1168	1847	268,64	1849	2,055164954
2025-07-10	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	55	0,625135	0	1635	1535	1238	1154	1842	265,42	1972	2,789046653
2025-07-11	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	36	0,726673	0	1812	1714	1495	1433	1972	329,59	1873	1,922050187
2025-07-11	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	33	0,730913	0,000534	1742	1669	1430	1369	1872	314,87	1857	1,777059774
2025-07-11	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	22	0,718363	0	1683	1612	1397	1334	1855	306,82	1818	1,210121012
2025-07-11	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	39	0,689219	0,00055	1652	1570	1327	1253	1817	288,19	1846	2,112676056
2025-07-12	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	38	0,485256	0	1659	1496	1067	938	1930	215,74	1933	1,965856182
2025-07-12	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	18	0,491525	0	1638	1496	1037	928	1887	213,44	1888	0,9533898305
2025-07-12	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	37	0,474522	0	1602	1466	1009	894	1884	205,62	1884	1,963906582
2025-07-12	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	22	0,454048	0	1487	1321	916	830	1825	190,90	1828	1,203501094
2025-07-13	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	18	0,513414	0,001052	1521	1367	1086	976	1899	224,48	1901	0,9468700684
2025-07-13	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	37	0,491953	0,000536	1388	1223	998	917	1861	210,91	1864	1,984978541
2025-07-13	Campanha Inverno Julho Copacol	360X640	COPACOL INVERNO	360X640	22	0,570879	0,001099	1470	1333	1121	1039	1819	238,97	1820	1,208791209
2025-07-13	Campanha Inverno Julho Copacol	720X1280	COPACOL INVERNO	720X1280	20	0,552313	0,000551	1507	1337	1100	1003	1815	230,69	1816	1,101321586
2025-07-14	Campanha Inverno Julho Copacol	640X360	COPACOL INVERNO	640X360	37	0,565106	0,000515	1574	1362	1211	1098	1942	252,54	1943	1,904271745
2025-07-14	Campanha Inverno Julho Copacol	1280X720	COPACOL INVERNO	1280X720	38	0,556545	0,000524	1511	1286	1162	1063	1910	244,49	1910	1,989528796
