											
CTV com household sync - Entrega em CTV, OTT, Samsung, PLUTO e principais apps											
											
	Creative	Starts (Video)	Skips (Video)	First-Quartile Views (Video)	Midpoint Views (Video)	Third-Quartile Views (Video)	Complete Views (Video)	Active View: % Audible and Visible at Start	Active View: % Play Time Visible	Active View: % Play Time Audible and Visible	Valor investido
01/09/2025	Sonho 15s	891	0	889	871	864	859	98,389%	99,861%	99,012%	171,8
01/09/2025	Sonhos - 30s	1711	0	1671	1628	1619	1578	98,424%	99,969%	99,680%	315,6
02/09/2025	Sonho 15s	1671	0	1561	1461	1431	1281	98,331%	99,842%	99,012%	256,2
02/09/2025	Sonhos - 30s	1561	0	1549	1539	1437	1341	98,334%	99,944%	99,680%	268,2
03/09/2025	Sonho 15s	844	0	839	821	817	773	98,322%	99,833%	99,012%	154,6
03/09/2025	Sonhos - 30s	1711	0	1701	1695	1687	1678	98,224%	99,939%	99,611%	335,6
04/09/2025	Sonho 15s	771	0	758	548	451	419	98,33%	99,189%	99,451%	83,8
04/09/2025	Sonhos - 30s	672	0	659	642	638	619	98,88%	99,179%	99,444%	123,8
05/09/2025	Sonho 15s	1671	0	1566	1461	1321	1111	98,84%	98,88%	99,773%	222,2
05/09/2025	Sonhos - 30s	899	0	883	674	566	449	98,89%	99,12%	99,899%	89,8
06/09/2025	Sonho 15s	1888	0	1876	1856	1843	1831	98,89%	99,19%	99,183%	366,2
06/09/2025	Sonhos - 30s	991	0	966	951	733	671	98,33%	99,91%	99,711%	134,2
07/09/2025	Sonho 15s	1298	0	1239	1219	1201	1107	97,81%	97,89%	99,183%	221,4
07/09/2025	Sonhos - 30s	1091	0	1078	1067	1063	1001	98,81%	99,89	99,120%	200,2
