Day	Video Completion Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido	Criativo
01/09/2025	0,928509	367	364	361	357	369	117,81	Sonho 30s
02/09/2025	0,98741	838	829	827	819	842	270,27	Sonho 30s
03/09/2025	0,930401	1819	1814	1813	1812	1821	597,96	Sonho 30s
04/09/2025	0,98631	1942	1943	1939	1930	1954	636,9	Sonho 30s
05/09/2025	0,930401	2270	2242	2224	2219	2321	732,27	Sonho 30s
06/09/2025	0,97881	4241	4220	4189	4180	4357	1379,4	Sonho 30s
07/09/2025	0,99823	4089	4002	3994	3891	4091	1284,03	Sonho 30s
08/09/2025	0,98156	6891	6822	6813	6809	6894	2246,97	Sonho 30s
09/09/2025	0,97236	1792	1794	1789	1777	1982	586,41	Sonho 30s
10/09/2025	0,98131	1344	1342	1338	1328	1452	438,24	Sonho 30s
11/09/2025	0,97831	954	953	938	929	967	306,57	Sonho 30s
