Date	Starts (Video)	First-Quartile Views (Video)	Midpoint Views (Video)	Third-Quartile Views (Video)	Complete Views (Video)	Active View: % Audible and Visible at Start	Active View: % Play Time Visible	Active View: % Play Time Audible and Visible	criativo	Valor investido
2025/09/01	2093	1831	1734	1637	1563	95,762%	99,863%	99,808%	shorts	46,89
2025/09/01	1821	1717	893	573	571	96,788%	99,993%	99,818%	15s	17,13
2025/09/01	2218	1905	1026	723	627	95,991%	99,993%	99,707%	30s	18,81
2025/09/02	4773	4601	4566	4332	4102	94,451%	99,881%	99,991%	shorts	123,06
2025/09/02	3891	3743	2889	2783	2674	96,231%	99,771%	99,881%	15s	80,22
2025/09/02	3369	2706	2055	1812	1717	96,777%	99,834%	99,637%	30s	51,51
2025/09/03	1899	1801	1453	893	673	96,881%	99,885%	99,779%	shorts	20,19
2025/09/03	3091	2031	788	631	574	97,881%	99,551%	99,994%	15s	17,22
2025/09/03	5183	4978	4400	4161	4062	96,778%	99,947%	99,802%	30s	121,86
2025/09/04	8901	6821	5661	3899	1902	94,778%	99,331%	99,999%	shorts	57,06
2025/09/04	655	391	290	103	56	95,762%	97,991%	99,999%	15s	1,68
2025/09/04	12559	8901	5684	2894	1783	94,964%	98,956%	98,943%	30s	53,49
2025/09/05	20893	15673	10992	8931	5783	90,474%	97,308%	96,072%	shorts	173,49
2025/09/05	34211	28931	20342	17631	15831	99,661%	99,773%	99,889%	15s	474,93
2025/09/05	42130	28931	12983	10383	6731	98,881%	99,661%	99,881%	30s	201,93
2025/09/06	1099	754	627	579	560	98,626%	99,788%	99,758%	shorts	16,8
2025/09/06	45261	18391	12331	7831	6731	99,884%	98,881%	99,781%	15s	201,93
2025/09/06	56318	36271	28930	19831	11563	97,886%	98,330%	99,111%	30s	346,89
2025/09/07	11381	10783	9803	7831	5671	99,332%	99,993%	99,758%	shorts	170,13
2025/09/07	37891	30911	20193	19831	15693	99,889%	98,993%	99,781%	15s	470,79
2025/09/07	67893	42310	35631	17622	12333	92,330%	99,990%	99,910%	30s	369,99
