Ad name	By Day	Valor Investido	CPC 	CPM	Impressions	Clicks 	CTR 
Sonho 15 segundos	2025-09-02	R$ 176,52	0,062	R$ 15,20	11613	11	0,095
Sonho 15 segundos	2025-09-01	R$ 89,94	0,056	R$ 15,20	5917	5	0,085
sonho 15s	2025-09-01	R$ 76,62	0,013	R$ 15,20	5041	1	0,020
Sonho 30 segundos	2025-09-02	R$ 33,26	0,090	R$ 15,20	2188	3	0,137
sonho 30s	2025-09-01	R$ 35,28	0,028	R$ 15,20	2321	1	0,043
Sonho 30 segundos	2025-09-01	R$ 27,69	0,036	R$ 15,20	1822	1	0,055
Sonho 15 segundos	2025-09-03	R$ 166,77	0,534	R$ 15,20	10972	89	0,811
Sonho 30 segundos	2025-09-03	R$ 38,26	0,078	R$ 15,20	2517	3	0,119
Sonho 15 segundos	2025-09-04	R$ 289,13	4,600	R$ 15,20	19022	176	0,925
Sonho 30 segundos	2025-09-04	R$ 132,30	0,209	R$ 15,20	8704	8	0,092
Sonho 15 segundos	2025-09-05	R$ 545,54	28,464	R$ 15,20	35891	1089	3,034
Sonho 30 segundos	2025-09-05	R$ 864,76	47,258	R$ 15,20	56892	1808	3,178
Sonho 15 segundos	2025-09-06	R$ 1.100,34	51,832	R$ 15,20	72391	1983	2,739
Sonho 30 segundos	2025-09-06	R$ 1.191,54	78,963	R$ 15,20	78391	3021	3,854
Sonho 15 segundos	2025-09-07	R$ 1.100,34	51,832	R$ 15,20	72391	1983	2,739
Sonho 30 segundos	2025-09-07	R$ 1.191,54	78,963	R$ 15,20	78391	3021	3,854
Sonho 15 segundos	2025-09-08	R$ 786,31	38,031	R$ 15,20	51731	1455	2,813
Sonho 30 segundos	2025-09-08	R$ 694,21	49,427	R$ 15,20	45672	1891	4,140
Sonho 15 segundos	2025-09-09	R$ 162,96	8,678	R$ 15,20	10721	332	3,097
Sonho 30 segundos	2025-09-09	R$ 126,94	2,927	R$ 15,20	8351	112	1,341
Sonho 15 segundos	2025-09-10	R$ 190,93	9,593	R$ 15,20	12561	367	2,922
Sonho 30 segundos	2025-09-10	R$ 147,91	3,215	R$ 15,20	9731	123	1,264
Sonho 15 segundos	2025-09-11	R$ 35,13	1,699	R$ 15,20	2311	65	2,813
Sonho 30 segundos	2025-09-11	R$ 26,19	0,314	R$ 15,20	1723	12	0,696
