						
Date	Creative	Impressions	Clicks	Click Rate (CTR)	VALOR DO INVESTIMENTO	CPM
2025/08/30	180x150 -cta 2	783	12	1,533%	R$ 14,88	R$ 19,00
2025/08/30	250X250	1982	28	1,413%	R$ 37,66	R$ 19,00
2025/08/31	180x150 -cta 2	3551	23	0,648%	R$ 67,47	R$ 19,00
2025/08/31	180x150-cta2	2451	12	0,490%	R$ 46,57	R$ 19,00
2025/09/01	970x90	1342	21	1,565%	R$ 25,50	R$ 19,00
2025/09/01	180x150-cta2	2778	2	0,072%	R$ 52,78	R$ 19,00
2025/09/02	250x250	2561	152	5,935%	R$ 48,66	R$ 19,00
2025/09/02	336x280	2341	12	0,513%	R$ 44,48	R$ 19,00
2025/09/02	468x60	3451	7	0,203%	R$ 65,57	R$ 19,00
2025/09/02	728x90	2331	8	0,343%	R$ 44,29	R$ 19,00
2025/09/03	180x150-cta2	1001	10	0,999%	R$ 19,02	R$ 19,00
2025/09/03	250x250	3671	261	7,110%	R$ 69,75	R$ 19,00
2025/09/03	336x280	2783	257	9,235%	R$ 52,88	R$ 19,00
2025/09/03	468x60	2677	0	0,000%	R$ 50,86	R$ 19,00
2025/09/03	728x90	893	0	0,000%	R$ 16,97	R$ 19,00
2025/09/03	970X90	673	0	0,000%	R$ 12,79	R$ 19,00
2025/09/04	180x150 -cta 2	2121	14	0,660%	R$ 40,30	R$ 19,00
2025/09/04	180x150-cta2	1883	1	0,053%	R$ 35,78	R$ 19,00
2025/09/04	250x250	1075	35	3,256%	R$ 20,43	R$ 19,00
2025/09/04	336x280	1167	21	1,799%	R$ 22,17	R$ 19,00
2025/09/04	468x60	2455	31	1,263%	R$ 46,65	R$ 19,00
2025/09/04	728x90	683	18	2,635%	R$ 12,98	R$ 19,00
2025/09/04	970x90	925	12	1,297%	R$ 17,58	R$ 19,00
2025/09/05	250x250	3012	132	4,382%	R$ 57,23	R$ 19,00
2025/09/05	336x280	1783	12	0,673%	R$ 33,88	R$ 19,00
2025/09/05	468x60	2455	13	0,530%	R$ 46,65	R$ 19,00
2025/09/05	728x90	564	45	7,979%	R$ 10,72	R$ 19,00
2025/09/05	970x90	925	1	0,108%	R$ 17,58	R$ 19,00
2025/09/05	180x150 -cta 2	1499	0	0,000%	R$ 28,48	R$ 19,00
2025/09/05	180x150-cta2	1516	3	0,198%	R$ 28,80	R$ 19,00
2025/09/06	250x250	18931	454	2,398%	R$ 359,69	R$ 19,00
2025/09/06	336x280	9831	377	3,835%	R$ 186,79	R$ 19,00
2025/09/06	468x60	1782	23	1,291%	R$ 33,86	R$ 19,00
2025/09/06	728x90	1053	0	0,000%	R$ 20,01	R$ 19,00
2025/09/06	970x90	1363	0	0,000%	R$ 25,90	R$ 19,00
2025/09/07	250x250	21319	564	2,646%	R$ 405,06	R$ 19,00
2025/09/07	336x280	78121	541	0,693%	R$ 1.484,30	R$ 19,00
2025/09/07	468x60	881	23	2,611%	R$ 16,74	R$ 19,00
2025/09/07	728x90	783	133	16,986%	R$ 14,88	R$ 19,00
2025/09/07	970x90	2253	132	5,859%	R$ 42,81	R$ 19,00
2025/09/08	250x250	51773	894	1,727%	R$ 983,69	R$ 19,00
2025/09/08	336x280	56893	339	0,596%	R$ 1.080,97	R$ 19,00
2025/09/08	468x60	337	31	9,199%	R$ 6,40	R$ 19,00
2025/09/08	728x90	336	1	0,298%	R$ 6,38	R$ 19,00
2025/09/08	970x90	1831	0	0,000%	R$ 34,79	R$ 19,00
2025/09/09	250x250	10321	241	2,335%	R$ 196,10	R$ 19,00
2025/09/09	336x280	8931	219	2,452%	R$ 169,69	R$ 19,00
2025/09/09	468x60	231	1	0,433%	R$ 4,39	R$ 19,00
2025/09/09	728x90	221	1	0,452%	R$ 4,20	R$ 19,00
2025/09/09	970x90	72	0	0,000%	R$ 1,37	R$ 19,00
2025/09/10	250x250	7831	142	1,813%	R$ 148,79	R$ 19,00
2025/09/10	336x280	4631	89	1,922%	R$ 87,99	R$ 19,00
2025/09/10	468x60	219	2	0,913%	R$ 4,16	R$ 19,00
2025/09/10	728x90	132	1	0,758%	R$ 2,51	R$ 19,00
2025/09/10	970x90	89	0	0,000%	R$ 1,69	R$ 19,00
2025/09/11	250x250	2451	86	3,509%	R$ 46,57	R$ 19,00
2025/09/11	336x280	1331	32	2,404%	R$ 25,29	R$ 19,00
2025/09/11	468x60	451	2	0,443%	R$ 8,57	R$ 19,00
2025/09/11	728x90	23	0	0,000%	R$ 0,44	R$ 19,00
2025/09/11	970x90	39	0	0,000%	R$ 0,74	R$ 19,00
