Day	Video Completion Rate %	Video Skip Rate %	Video Start Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido
2025-08-15	0,926709	0	1	1929	1889	1856	1834	1932	550,2
2025-08-16	0,93556	0	1	1431	1428	1419	1401	1453	420,3
2025-08-17	0,94342	0	1	799	798	767	754	801	226,2
2025-08-18	0,942186	0	1	562	560	559	551	564	165,3
2025-08-19	0,938961	0	1	371	367	365	359	389	107,7
2025-08-20	0,927963	0	1	1089	1087	1085	1079	1091	323,7
2025-08-21	0,955981	0	1	1651	1649	1638	1629	1664	488,7
2025-08-23	0,973111	0	1	4758	4749	4732	4728	4761	1418,4
2025-08-24	0,969819	0	1	4750	4749	4748	4699	4781	1409,7
2025-08-25	0,981981	0	1	5108	5088	4991	4566	5233	1369,8
2025-08-26	0,951218	0	1	6721	6719	6718	6716	6724	2014,8
2025-08-27	0,911911	0	1	9870	9867	9859	9847	9871	2954,1
2025-08-28	0,921721	0	1	8721	8719	8718	8731	8746	2619,3
2025-08-29	0,922271	0	1	7810	7809	7805	7804	7812	2341,2
2025-08-30	0,934411	0	1	8781	8718	8707	8701	8791	2610,3
2025-08-31	0,951821	0	1	6660	6658	6649	6618	6663	1985,4
2025-09-01	0,951821	0	1	5029	5018	5017	5016	5031	1504,8
2025-09-02	0,951821	0	1	4380	4378	4369	4368	4381	1310,4
2025-09-03	0,99771	0	1	883	881	878	876	891	262,8
2025-09-04	0,99831	0	1	719	714	713	710	729	213
2025-09-05	0,98771	0	1	1617	1614	1610	1609	1618	482,7
2025-09-06	0,99899	0	1	1509	1507	1504	1502	1512	450,6
2025-09-06	0,98811	0	1	1545	1543	1534	1529	1562	458,7
2025-09-07	0,97191	0	1	1481	1479	1478	1467	1489	440,1
2025-09-08	0,99883	0	1	1562	1548	1539	1528	1563	458,4
2025-09-09	0,98901	0	1	1678	1671	1670	1669	1701	500,7
