Day	Line Item	Creative	Valor Investido	Imps	Clicks	CTR 	CPM	CPC
2025-08-12	Dauher | Hidrabene (29971119)	Marca faz aniversário e “enlouquece” a internet com ofertas exclusivas. Veja como participar. (657750842)	R$ 740,67	123445	849	0,688	R$ 6,00	0,872
2025-08-12	Dauher | Hidrabene (29971119)	Marca surpreende clientes em julho e prepara site com presentes de aniversário. (657750131)	R$ 224,27	37379	195	0,522	R$ 6,00	1,150
2025-08-12	Dauher | Hidrabene (29971119)	Marca de cosméticos comemora 7 anos com ofertas incríveis no site. (657747933)	R$ 178,70	29784	116	0,389	R$ 6,00	1,541
2025-08-12	Dauher | Hidrabene (29971119)	Ofertas de aniversário param o mundo do skincare. Veja as surpresas. (657748590)	R$ 176,36	29394	125	0,425	R$ 6,00	1,411
2025-08-13	Dauher | Hidrabene (29971119)	Ofertas de aniversário param o mundo do skincare. Veja as surpresas. (657748590)	R$ 324,53	54089	981	1,814	R$ 6,00	0,331
2025-08-13	Dauher | Hidrabene (29971119)	Marca de cosméticos comemora 7 anos com ofertas incríveis no site. (657747933)	R$ 322,45	53742	1065	1,982	R$ 6,00	0,303
2025-08-13	Dauher | Hidrabene (29971119)	Marca faz aniversário e “enlouquece” a internet com ofertas exclusivas. Veja como participar. (657750842)	R$ 299,45	49908	1006	2,016	R$ 6,00	0,298
2025-08-13	Dauher | Hidrabene (29971119)	Marca surpreende clientes em julho e prepara site com presentes de aniversário. (657750131)	R$ 288,10	48016	1054	2,195	R$ 6,00	0,273
2025-08-14	Dauher | Hidrabene (29971119)	Marca de cosméticos comemora 7 anos com ofertas incríveis no site. (657747933)	R$ 314,45	52409	1797	3,429	R$ 6,00	0,175
2025-08-14	Dauher | Hidrabene (29971119)	Ofertas de aniversário param o mundo do skincare. Veja as surpresas. (657748590)	R$ 314,30	52384	1684	3,215	R$ 6,00	0,187
2025-08-14	Dauher | Hidrabene (29971119)	Marca faz aniversário e “enlouquece” a internet com ofertas exclusivas. Veja como participar. (657750842)	R$ 286,59	47765	1652	3,459	R$ 6,00	0,173
2025-08-14	Dauher | Hidrabene (29971119)	Marca surpreende clientes em julho e prepara site com presentes de aniversário. (657750131)	R$ 278,72	46453	1739	3,744	R$ 6,00	0,160
2025-08-15	Dauher | Hidrabene (29971119)	Ofertas de aniversário param o mundo do skincare. Veja as surpresas. (657748590)	R$ 323,30	53884	1160	2,153	R$ 6,00	0,279
2025-08-15	Dauher | Hidrabene (29971119)	Marca de cosméticos comemora 7 anos com ofertas incríveis no site. (657747933)	R$ 322,51	53752	1095	2,037	R$ 6,00	0,295
2025-08-15	Dauher | Hidrabene (29971119)	Marca faz aniversário e “enlouquece” a internet com ofertas exclusivas. Veja como participar. (657750842)	R$ 290,50	48416	1064	2,198	R$ 6,00	0,273
