Day	Video Completion Rate %	Video Skip Rate %	Video Start Rate %	25% Video Complete	50% Video Complete	75% Video Complete	100% Complete	Video Starts	Valor investido
2025-05-29	0,926709	0	1	9730	9571	9481	9420	10165	2826
2025-05-30	0,93556	0	1	10147	10006	9932	9887	10568	2966,1
2025-05-31	0,94342	0	1	12235	12080	11975	11922	12637	3576,6
2025-06-01	0,942186	0	1	3212	3169	3148	3129	3321	938,7
2025-06-02	0,927961	0	1	2355	2316	2294	2280	2457	684
2025-06-03	0,94395	0	1	3265	3216	3198	3183	3372	954,9
2025-06-04	0,929554	0	1	2904	2876	2848	2837	3052	851,1
2025-06-05	0,922521	0	1	2913	2854	2829	2810	3046	843
2025-06-06	0,928509	0	1	4396	4337	4296	4273	4602	1281,9
2025-06-07	0,930401	0	1	4495	4425	4382	4358	4684	1307,4
2025-06-08	0,939513	0	1	4431	4376	4341	4318	4596	1295,4
2025-06-09	0,920943	0	1	4325	4246	4213	4182	4541	1254,6
2025-06-10	0,91885	0	1	4450	4378	4334	4314	4695	1294,2
2025-06-11	0,922703	0	1	4712	4620	4578	4560	4942	1368
2025-06-12	0,921447	0	1	3233	3170	3144	3132	3399	939,6
2025-06-13	0,928926	0	1	4434	4359	4327	4300	4629	1290
2025-06-14	0,93235	0	1	4421	4371	4326	4300	4612	1290
2025-06-15	0,943491	0	1	4453	4392	4358	4341	4601	1302,3
2025-06-16	0,926795	0	1	4813	4724	4689	4659	5027	1397,7
2025-06-17	0,927563	0	1	4195	4127	4094	4072	4390	1221,6
2025-06-18	0,926998	0	1	4445	4355	4315	4292	4630	1287,6
2025-06-19	0,939897	0	1	4445	4355	4315	4292	4630	1287,6
2025-06-20	0,927775	0	1	4100	4053	4011	3995	4306	1198,5
2025-06-21	0,935225	0	1	4685	4617	4573	4548	4863	1364,4
2025-06-22	0,939667	0	1	4936	4866	4823	4797	5105	1439,1
2025-06-23	0,930148	0	1	4214	4150	4107	4088	4395	1226,4
2025-06-24	0,927343	0	1	4463	4396	4343	4314	4652	1294,2
2025-06-25	0,927326	0	1	4279	4217	4177	4147	4472	1244,1
2025-06-26	0,932475	0	1	4262	4198	4156	4129	4428	1238,7
2025-06-27	0,912587	0	1	4225	4139	4097	4082	4473	1224,6
2025-06-28	0,933194	0	1	4133	4071	4041	4023	4311	1206,9
2025-06-29	0,938684	0	1	4531	4470	4427	4409	4697	1322,7
2025-06-30	0,927465	0	1	2540	2501	2465	2455	2647	736,5
2025-07-01	0,928509	0	1	4396	4337	4296	4273	4602	1281,9
2025-07-02	0,930401	0	1	4495	4425	4382	4358	4684	1307,4
2025-07-03	0,943491	0	1	4453	4392	4358	4341	4601	1302,3
2025-07-04	0,926795	0	1	4813	4724	4689	4659	5027	1397,7
2025-07-05	0,927563	0	1	4195	4127	4094	4072	4390	1221,6
2025-07-06	0,922703	0	1	4712	4620	4578	4560	4942	1368
2025-07-07	0,928926	0	1	4434	4359	4327	4300	4629	1290
2025-07-08	0,927343	0	1	4463	4396	4343	4314	4652	1294,2
2025-07-09	0,930148	0	1	4214	4150	4107	4088	4395	1226,4
2025-07-10	0,928509	0	1	4396	4337	4296	4273	4602	1281,9
2025-07-11	0,930401	0	1	4495	4425	4382	4358	4684	1307,4
2025-07-12	0,939513	0	1	4431	4376	4341	4318	4596	1295,4
2025-07-13	0,927563	0	1	4195	4127	4094	4072	4390	1221,6
2025-07-14	0,930401	0	1	4495	4425	4382	4358	4684	1307,4
2025-07-15	0,943491	0	1	4453	4392	4358	4341	4601	1302,3
2025-07-16	0,928509	0	1	4396	4337	4296	4273	4602	1281,9
2025-07-17	0,929554	0	1	2904	2876	2848	2837	3052	851,1
2025-07-18	0,926795	0	1	4813	4724	4689	4659	5027	1397,7
2025-07-19	0,927563	0	1	4195	4127	4094	4072	4390	1221,6
2025-07-20	0,926998	0	1	4445	4355	4315	4292	4630	1287,6
2025-07-21	0,939897	0	1	4445	4355	4315	4292	4630	1287,6
2025-07-22	0,921447	0	1	3233	3170	3144	3132	3399	939,6
2025-07-23	0,928926	0	1	4434	4359	4327	4300	4629	1290
2025-07-24	0,93235	0	1	4421	4371	4326	4300	4612	1290
2025-07-25	0,943491	0	1	4453	4392	4358	4341	4601	1302,3
2025-07-26	0,930401	0	1	4495	4425	4382	4358	4684	1307,4
2025-07-27	0,939513	0	1	4431	4376	4341	4318	4596	1295,4
2025-07-28	0,938684	0	1	4531	4470	4427	4409	4697	1322,7
2025-07-29	0,927465	0	1	2540	2501	2465	2455	2647	736,5
2025-07-30	0,922521	0	1	2913	2854	2829	2810	3046	843
2025-07-31	0,928509	0	1	4396	4337	4296	4273	4602	1281,9
2025-08-01	0,930401	0	1	4495	4425	4382	4358	4684	1307,4
2025-08-02	0,939513	0	1	4431	4376	4341	4318	4596	1295,4
2025-08-03	0,989312	0	1	4463	4396	4343	4314	4652	1294,2
2025-08-04	0,928472	0	1	3529	3512	3187	2993	3531	897,9
2025-08-05	0,927343	0	1	4534	4181	3994	3673	4551	1101,9
2025-08-06	0,989011	0	1	2878	2673	2453	2181	2883	654,3
2025-08-07	0,997344	0	1	3891	3673	3452	3089	3991	926,7
2025-08-08	0,959353	0	1	3203	3099	2901	2783	3673	834,9
2025-08-09	0,945543	0	1	3883	3784	3556	3129	3988	938,7
2025-08-10	0,988591	0	1	3188	3091	3013	2891	3340	867,3
2025-08-11	0,938193	0	1	3781	3564	3209	2903	3894	870,9
2025-08-12	0,927345	0	1	3454	3289	3065	2985	3651	895,5
2025-08-13	0,929458	0	1	4285	4072	4034	3762	4321	1128,6
2025-08-14	0,991254	0	1	3677	3389	3092	2891	3763	867,3
2025-08-15	0,92734	0	1	3672	3561	3282	3084	3993	925,2
2025-08-16	0,919872	0	1	3189	2983	2772	2674	3245	802,2
2025-08-17	0,918114			2566	2456	2331	2108	2764	632,4
